dataset,pressure,threshold_mmhg,estimand,percent,sd,n,ci95_lower,ci95_upper
mimic,sbp,5,segment_weighted,77.795304475421858,41.562255101457062,27260,,
mimic,sbp,5,cluster_equal,76.573295709373681,32.685748517156547,7353,75.814724684250479,77.312868743522912
mimic,sbp,10,segment_weighted,89.413059427732946,30.767039937991949,27260,,
mimic,sbp,10,cluster_equal,88.292265082739192,25.145783365314415,7353,87.712054507111873,88.856269092355035
mimic,sbp,15,segment_weighted,93.789435069699195,24.134733814082114,27260,,
mimic,sbp,15,cluster_equal,92.917757850370506,20.497175887301001,7353,92.429626750903353,93.381811215206938
mimic,dbp,5,segment_weighted,87.274394717534847,33.325958327427131,27260,,
mimic,dbp,5,cluster_equal,87.243543421452415,26.334352053382258,7353,86.635595631048361,87.837566292121764
mimic,dbp,10,segment_weighted,94.88994864269992,22.020274995007735,27260,,
mimic,dbp,10,cluster_equal,95.100867527240226,16.834097703669354,7353,94.715687043686273,95.478594498007908
mimic,dbp,15,segment_weighted,97.380777696258249,15.970657622582621,27260,,
mimic,dbp,15,cluster_equal,97.343124749285494,12.711868045374747,7353,97.042943795366256,97.630145231787395
mimic,map,5,segment_weighted,91.126192223037421,28.436531315084416,27260,,
mimic,map,5,cluster_equal,89.705026639951171,24.715431130798084,7353,89.130938203077122,90.264811515041032
mimic,map,10,segment_weighted,97.127659574468083,16.702805244420674,27260,,
mimic,map,10,cluster_equal,96.510658675081359,15.071590106143551,7353,96.158455284194773,96.843913234264107
mimic,map,15,segment_weighted,98.818782098312539,10.804004555602452,27260,,
mimic,map,15,cluster_equal,98.476168043691516,10.26418665368098,7353,98.23279753588811,98.704700012916049
abp_ppg,sbp,5,segment_weighted,17.700324619853067,38.167145168811487,11706,,
abp_ppg,sbp,5,cluster_equal,16.692813209422226,22.748480497830691,1716,15.636493009276897,17.762610992711437
abp_ppg,sbp,10,segment_weighted,33.871518879207244,47.327287020663157,11706,,
abp_ppg,sbp,10,cluster_equal,32.840059408000648,31.175182563754163,1716,31.358932902724387,34.320190044738005
abp_ppg,sbp,15,segment_weighted,49.453271826413804,49.997010793688531,11706,,
abp_ppg,sbp,15,cluster_equal,48.578696819541335,35.24321071250521,1716,46.873733842225391,50.234935703627421
abp_ppg,dbp,5,segment_weighted,44.208098411071248,49.663405803309182,11706,,
abp_ppg,dbp,5,cluster_equal,43.846007092333018,33.682864965499647,1716,42.240990456872957,45.465369481119133
abp_ppg,dbp,10,segment_weighted,73.406799931658981,44.182821514241134,11706,,
abp_ppg,dbp,10,cluster_equal,73.19902589679424,32.572164402196201,1716,71.651076000924874,74.755453644622335
abp_ppg,dbp,15,segment_weighted,87.920724414830005,32.588627768817084,11706,,
abp_ppg,dbp,15,cluster_equal,88.484301754513467,23.385111031354469,1716,87.366716516023075,89.578117761837916
abp_ppg,map,5,segment_weighted,34.332820775670598,47.481991271983752,11706,,
abp_ppg,map,5,cluster_equal,34.365257101789446,33.185789343368597,1716,32.744946606169549,35.950597351749579
abp_ppg,map,10,segment_weighted,61.088330770545021,48.754988675242089,11706,,
abp_ppg,map,10,cluster_equal,60.590445064432515,36.228491193433733,1716,58.887851807774823,62.319348777335556
abp_ppg,map,15,segment_weighted,79.882111737570483,40.088145356244063,11706,,
abp_ppg,map,15,cluster_equal,79.398976749762667,30.222553414608431,1716,77.94689493323132,80.826474596844378
vitaldb_old,sbp,5,segment_weighted,9.7978723404255312,29.728587784206592,9400,,
vitaldb_old,sbp,5,cluster_equal,9.7978723404255312,7.3217539278131785,94,8.3404255319148941,11.308510638297872
vitaldb_old,sbp,10,segment_weighted,19.872340425531913,39.903936254020877,9400,,
vitaldb_old,sbp,10,cluster_equal,19.872340425531913,13.026351396021109,94,17.25531914893617,22.553191489361701
vitaldb_old,sbp,15,segment_weighted,29.680851063829788,45.685141857169846,9400,,
vitaldb_old,sbp,15,cluster_equal,29.680851063829788,17.450972518140123,94,26.212765957446809,33.266223404255321
vitaldb_old,dbp,5,segment_weighted,29.372340425531913,45.546675624899947,9400,,
vitaldb_old,dbp,5,cluster_equal,29.372340425531913,16.395370417229156,94,26.053191489361701,32.702127659574465
vitaldb_old,dbp,10,segment_weighted,54.031914893617021,49.837171491675058,9400,,
vitaldb_old,dbp,10,cluster_equal,54.031914893617021,22.644548509172054,94,49.36143617021277,58.617021276595743
